id_miembro,fec_registro,id_ciudad,genero,rango_edad,canal_pref,activo,fec_ultima_compra
1,2025-07-19,87,F,36-45,TIENDA,False,2024-04-20
2,2025-02-03,94,,36-45,TIENDA,True,
3,2023-10-25,87,F,18-25,TIENDA,True,2025-03-01
4,2021-01-10,25,,65+,WEB,True,2026-05-06
5,2025-12-27,59,F,46-55,TIENDA,True,2025-02-27
6,2023-05-27,56,M,56-65,TIENDA,True,2026-05-16
7,2025-08-06,81,F,46-55,TIENDA,True,2024-07-21
8,2022-06-22,37,M,,TIENDA,False,
9,2022-12-27,54,F,26-35,TIENDA,True,2026-02-19
10,2024-04-28,,F,26-35,WEB,True,2025-11-16
11,2024-12-13,53,M,46-55,WEB,True,2024-05-20
12,2021-10-11,1,M,18-25,WEB,True,2024-07-28
13,2025-04-19,2,F,18-25,TIENDA,True,
14,2024-02-02,30,M,26-35,TIENDA,True,
15,2025-05-28,,M,26-35,WEB,True,
16,2024-03-04,33,F,46-55,TIENDA,True,
17,2023-12-20,69,M,65+,TIENDA,True,2024-11-04
18,2024-06-18,66,M,46-55,TIENDA,True,2026-04-09
19,2023-09-28,30,M,18-25,TIENDA,True,2026-03-15
20,2021-07-19,65,F,36-45,TIENDA,True,2025-08-20
21,2022-11-03,41,F,36-45,TIENDA,True,2024-11-20
22,2026-04-20,98,F,36-45,TIENDA,True,
23,2022-05-16,2,X,26-35,APP,True,
24,2023-05-13,67,,26-35,TIENDA,True,2024-08-21
25,2022-03-11,83,M,36-45,TIENDA,True,2025-07-24
26,2023-06-27,16,M,36-45,WEB,False,2026-03-02
27,2025-03-21,98,M,26-35,TIENDA,True,2024-12-16
28,2024-11-20,59,F,26-35,TIENDA,True,
29,2021-07-22,57,M,18-25,TIENDA,False,2025-05-30
30,2026-01-02,17,X,56-65,,True,2025-04-07
31,2024-06-09,60,X,,TIENDA,True,2025-12-10
32,2024-09-14,16,F,36-45,,True,2025-02-08
33,2025-03-02,41,F,65+,MKT,True,
34,2024-08-11,93,M,26-35,WEB,True,2024-04-08
35,2025-09-24,24,F,56-65,TIENDA,True,2026-01-16
36,2024-10-05,18,M,46-55,,True,2025-12-22
37,2026-05-10,1,,18-25,TIENDA,True,2025-07-24
38,2024-09-04,48,F,46-55,WEB,True,2025-02-21
39,2025-07-13,74,M,18-25,WEB,True,2024-12-27
40,2023-12-05,91,M,36-45,,True,2025-02-14
41,2022-10-18,11,M,18-25,APP,True,2025-09-26
42,2023-10-16,61,F,65+,MKT,True,2025-03-05
43,2021-11-03,17,X,36-45,TIENDA,True,2024-07-07
44,2023-07-31,46,F,,WEB,True,2024-10-12
45,2024-12-09,27,F,18-25,MKT,True,2024-07-13
46,2025-02-16,34,M,18-25,TIENDA,True,2026-01-12
47,2023-02-15,52,M,36-45,TIENDA,True,2026-01-25
48,2023-07-14,13,M,18-25,WEB,True,2024-12-13
49,2024-02-11,88,F,56-65,TIENDA,False,2025-10-17
50,2021-09-29,86,M,18-25,WEB,True,2024-09-12
51,2024-05-24,26,F,26-35,WEB,True,2024-04-18
52,2023-08-25,81,F,36-45,MKT,True,2024-07-27
53,2025-01-15,66,M,46-55,APP,True,2024-11-22
54,2024-06-12,92,F,36-45,TIENDA,True,2025-02-07
55,2021-12-14,76,M,18-25,WEB,True,2026-02-16
56,2024-01-22,78,M,18-25,APP,True,2024-07-29
57,2022-11-02,51,F,56-65,WEB,True,2026-05-02
58,2024-05-06,50,F,18-25,WEB,True,2025-02-07
59,2024-05-26,23,F,26-35,TIENDA,True,2026-01-26
60,2023-01-25,20,F,26-35,WEB,True,2024-11-14
61,2024-04-28,54,F,65+,TIENDA,True,2024-08-18
62,2021-12-12,89,F,46-55,WEB,True,2025-11-13
63,2023-01-22,51,F,46-55,WEB,True,2024-04-30
64,2024-11-25,21,M,,TIENDA,True,2024-09-28
65,2023-10-23,59,,36-45,TIENDA,True,2024-03-10
66,2021-03-16,47,M,26-35,WEB,False,2024-08-28
67,2023-06-17,25,M,26-35,MKT,True,2024-12-08
68,2022-05-19,,F,36-45,MKT,True,2024-11-13
69,2025-11-06,35,F,26-35,APP,True,2024-04-08
70,2026-01-18,85,M,36-45,TIENDA,False,2026-01-07
71,2021-05-16,82,F,26-35,APP,False,2025-01-25
72,2022-12-29,85,F,18-25,WEB,True,2024-02-03
73,2024-03-05,93,M,26-35,,True,2024-05-27
74,2022-10-23,37,M,65+,TIENDA,False,2026-03-18
75,2024-12-10,74,F,18-25,WEB,True,2024-10-31
76,2021-09-04,13,M,36-45,WEB,True,2024-06-12
77,2025-08-04,73,M,26-35,APP,True,2026-01-25
78,2022-05-11,49,M,26-35,TIENDA,True,
79,2022-04-20,36,X,36-45,TIENDA,True,2026-04-28
80,2022-11-03,88,M,26-35,TIENDA,False,2025-05-05
81,2026-01-22,37,X,18-25,TIENDA,True,2024-12-05
82,2022-07-07,29,M,26-35,TIENDA,True,2026-03-02
83,2022-05-19,65,F,36-45,TIENDA,True,2024-08-29
84,2022-05-08,54,F,46-55,WEB,True,2025-03-09
85,2021-10-23,79,M,18-25,TIENDA,True,2025-06-11
86,2026-01-13,16,F,36-45,TIENDA,True,
87,2024-07-23,100,F,56-65,MKT,True,2025-07-12
88,2024-01-14,75,F,65+,TIENDA,True,2025-03-24
89,2021-09-27,34,F,26-35,TIENDA,True,2025-06-15
90,2021-04-08,61,M,26-35,TIENDA,True,2024-06-07
91,2022-08-31,1,M,46-55,TIENDA,True,2025-12-05
92,2026-01-15,74,M,65+,MKT,True,2024-10-06
93,2023-11-18,6,M,56-65,MKT,True,2024-10-08
94,2025-05-19,29,M,26-35,WEB,True,2024-01-09
95,2022-08-23,81,F,46-55,TIENDA,True,2025-10-21
96,2021-07-18,68,M,26-35,WEB,False,2024-04-28
97,2022-03-26,,M,36-45,WEB,True,
98,2022-04-11,18,F,36-45,WEB,True,2026-04-26
99,2024-04-06,76,F,46-55,TIENDA,True,2024-10-09
100,2022-01-16,42,F,65+,WEB,True,2024-06-24
