id_snapshot,art_id,id_tienda,fec_snapshot,stock_fisico,stock_transito,stock_reservado,stock_minimo_config,stock_maximo_config
1,4974,4,2026-05-02,21,0,,10,30
2,4974,4,2026-05-03,13,0,0,10,30
3,4974,4,2026-05-04,19,0,0,10,30
4,4974,4,2026-05-05,16,12,0,10,30
5,4974,4,2026-05-06,14,0,0,10,30
6,4974,4,2026-05-07,12,9,0,10,30
7,4974,4,2026-05-08,25,0,0,10,30
8,4974,4,2026-05-09,12,0,7,10,30
9,4974,4,2026-05-10,12,,0,10,30
10,4974,4,2026-05-11,12,0,0,10,30
11,4974,4,2026-05-12,17,0,0,10,30
12,4974,4,2026-05-13,11,9,0,10,30
13,4974,4,2026-05-14,14,0,0,10,30
14,4974,4,2026-05-15,17,0,0,10,30
15,4974,4,2026-05-16,14,0,2,10,30
16,4974,4,2026-05-17,23,0,0,10,30
17,4974,4,2026-05-18,13,0,0,10,30
18,4974,4,2026-05-19,13,0,0,10,30
19,4974,4,2026-05-20,10,7,0,10,30
20,4974,4,2026-05-21,18,10,0,10,30
21,4974,4,2026-05-22,9,0,0,10,30
22,4974,4,2026-05-23,14,5,0,10,30
23,4974,4,2026-05-24,18,10,0,10,30
24,4974,4,2026-05-25,13,0,0,10,30
25,4974,4,2026-05-26,18,6,4,10,30
26,4974,4,2026-05-27,15,0,8,10,30
27,4974,4,2026-05-28,11,,0,10,30
28,4974,4,2026-05-29,14,0,0,10,30
29,4974,4,2026-05-30,14,9,0,10,30
30,4974,4,2026-05-31,14,0,5,10,30
31,4691,128,2026-05-02,15,9,3,10,30
32,4691,128,2026-05-03,21,0,4,10,30
33,4691,128,2026-05-04,19,0,0,10,30
34,4691,128,2026-05-05,22,0,2,10,30
35,4691,128,2026-05-06,15,,0,10,30
36,4691,128,2026-05-07,22,0,6,10,30
37,4691,128,2026-05-08,16,0,0,10,30
38,4691,128,2026-05-09,12,0,0,10,30
39,4691,128,2026-05-10,16,,5,10,30
40,4691,128,2026-05-11,10,11,0,10,30
41,4691,128,2026-05-12,15,6,0,10,30
42,4691,128,2026-05-13,14,7,0,10,30
43,4691,128,2026-05-14,13,0,7,10,30
44,4691,128,2026-05-15,17,0,,10,30
45,4691,128,2026-05-16,12,0,0,10,30
46,4691,128,2026-05-17,16,7,0,10,30
47,4691,128,2026-05-18,18,0,0,10,30
48,4691,128,2026-05-19,14,0,0,10,30
49,4691,128,2026-05-20,19,0,2,10,30
50,4691,128,2026-05-21,10,0,0,10,30
51,4691,128,2026-05-22,11,0,0,10,30
52,4691,128,2026-05-23,15,,0,10,30
53,4691,128,2026-05-24,12,0,0,10,30
54,4691,128,2026-05-25,16,12,0,10,30
55,4691,128,2026-05-26,14,0,0,10,30
56,4691,128,2026-05-27,21,0,0,10,30
57,4691,128,2026-05-28,11,0,0,10,30
58,4691,128,2026-05-29,16,14,0,10,30
59,4691,128,2026-05-30,17,0,0,10,30
60,4691,128,2026-05-31,14,,4,10,30
61,3290,93,2026-05-02,9,0,0,3,9
62,3290,93,2026-05-03,11,,0,3,9
63,3290,93,2026-05-04,16,0,0,3,9
64,3290,93,2026-05-05,22,0,0,3,9
65,3290,93,2026-05-06,17,0,9,3,9
66,3290,93,2026-05-07,13,0,0,3,9
67,3290,93,2026-05-08,20,0,0,3,9
68,3290,93,2026-05-09,15,11,0,3,9
69,3290,93,2026-05-10,12,0,0,3,9
70,3290,93,2026-05-11,14,0,0,3,9
71,3290,93,2026-05-12,19,13,4,3,9
72,3290,93,2026-05-13,13,,0,3,9
73,3290,93,2026-05-14,20,0,0,3,9
74,3290,93,2026-05-15,15,0,0,3,9
75,3290,93,2026-05-16,14,0,0,3,9
76,3290,93,2026-05-17,12,0,0,3,9
77,3290,93,2026-05-18,20,0,,3,9
78,3290,93,2026-05-19,15,0,0,3,9
79,3290,93,2026-05-20,17,0,0,3,9
80,3290,93,2026-05-21,13,0,0,3,9
81,3290,93,2026-05-22,12,0,2,3,9
82,3290,93,2026-05-23,18,0,0,3,9
83,3290,93,2026-05-24,12,0,0,3,9
84,3290,93,2026-05-25,17,,0,3,9
85,3290,93,2026-05-26,12,6,0,3,9
86,3290,93,2026-05-27,16,0,,3,9
87,3290,93,2026-05-28,12,0,0,3,9
88,3290,93,2026-05-29,23,19,0,3,9
89,3290,93,2026-05-30,13,3,0,3,9
90,3290,93,2026-05-31,8,0,,3,9
91,4094,61,2026-05-02,4,9,0,10,30
92,4094,61,2026-05-03,9,11,0,10,30
93,4094,61,2026-05-04,22,11,3,10,30
94,4094,61,2026-05-05,7,0,0,10,30
95,4094,61,2026-05-06,14,0,3,10,30
96,4094,61,2026-05-07,10,9,4,10,30
97,4094,61,2026-05-08,15,0,0,10,30
98,4094,61,2026-05-09,19,0,0,10,30
99,4094,61,2026-05-10,15,0,0,10,30
100,4094,61,2026-05-11,14,0,0,10,30
