art_id,cod_barra,desc_art,id_categ_n1,id_categ_n2,id_categ_n3,id_proveedor,precio_lista,peso_kg,unid_medida,activo,fec_alta
1,7706379356161,Shampoo Gold 400ml,2,23,,249,22988.93,1.597,UN,True,2021-04-03
2,7702203311683,Crema Corporal Plus Pack x4,2,22,227,464,33384.19,1.277,CC,True,2025-11-02
3,7701531592987,Smart TV 32 Clasico,4,41,415,775,531132.24,8.723,UN,True,2021-04-16
4,7708730264770,Audifonos Inalambricos Gold,4,45,,213,93098.89,6.887,UN,True,2021-02-06
5,,Chocolate Clasico 250g,1,14,145,350,16331.34,0.483,UN,True,2023-01-20
6,7700737184678,Jugo de Naranja Selecto 2L,1,12,124,673,24328.65,2.996,LT,False,2020-05-07
7,7706256052011,Papel Higienico Premium 100g,2,21,217,380,4337.67,0.355,UN,True,2022-08-19
8,7707043432573,Calcetines Pack 3 Original Talla L,5,55,,546,95740.69,1.992,UN,True,2020-11-30
9,,Cargador USB-C Extra,4,44,,337,286171.39,1.362,UN,False,2021-08-27
10,7702068594053,Smart TV 65 Premium,4,43,431,3,205444.99,1.321,UN,True,2021-03-03
11,7707887637950,Camiseta Basica Original Talla L,5,54,543,228,53289.15,1.596,UN,True,2025-07-22
12,7709295851997,Vino Tinto Original 500ml,1,11,112,455,10437.42,0.596,LT,True,2022-09-22
13,7704764887170,Crema de Afeitar Light Pack x4,2,23,,15,24033.72,,CC,True,2020-01-05
14,7707920049728,Frijoles Clasico Pack x6,1,11,113,187,15534.3,4.645,LT,False,2025-11-01
15,7703194001178,Ropa Interior Pack 3 Premium Talla L,5,54,546,762,20244.17,1.597,UN,False,2026-05-27
16,7707032339407,Suavizante Selecto 5L,3,35,352,12,10163.95,0.504,LT,False,2020-11-11
17,7705572204594,Vino Tinto Gold 250g,1,13,134,199,8461.96,1.33,KG,True,2020-08-21
18,7708432109135,Jugo de Naranja Extra 500g,1,14,149,498,20548.19,3.002,CC,True,2020-12-08
19,7707759010958,Memoria USB 64GB Economico,4,44,,453,48665.29,7.399,UN,True,2021-09-25
20,7702841358817,Cable HDMI Light,4,45,453,165,173288.82,,UN,True,2022-10-21
21,,Smart TV 50 Familiar,4,41,417,46,99955.64,2.548,UN,True,2025-02-01
22,7708076567725,Azucar Light 500g,1,12,,719,3517.73,4.034,CC,True,2025-10-18
23,7700327925709,Ropita Bebe 0-3m Original Talla P,6,62,623,443,54197.7,0.722,UN,True,2025-07-03
24,7706790388124,Power Bank 10000mAh Extra,4,44,449,461,181695.02,12.025,UN,True,2025-12-12
25,7704759142441,Parlante Bluetooth Tradicional,4,43,439,44,61635.75,3.009,UN,True,2020-05-07
26,7700752993056,Memoria USB 64GB Light,4,44,446,168,227328.81,9.072,UN,True,2026-02-05
27,7706885612221,Panales Etapa 3 Premium Talla P,6,63,631,56,101769.77,1.035,UN,False,2024-03-13
28,7704828740867,Cereal Infantil Light Pack x60,6,65,,784,10147.05,0.686,UN,True,2020-10-24
29,7708601013302,Cepillo Bano Plus 5L,3,34,345,616,20652.01,1.237,UN,True,2026-05-16
30,7702086319291,Cepillo Dental Premium 400ml,2,21,219,439,30738.9,,UN,True,2024-07-11
31,7700022995718,Shampoo Extra 100g,2,25,257,545,11649.38,1.72,CC,True,2024-10-28
32,7701304868178,Bermuda Clasico,5,55,,134,158987.12,1.512,UN,True,2024-02-25
33,,Esponja Tradicional 5L,3,31,315,791,10096.25,0.61,LT,True,2025-01-09
34,7706522443684,Atun en Lata Plus 500ml,1,12,122,416,19048.83,2.943,UN,True,2020-03-12
35,7703626432275,Azucar Clasico 1L,1,15,155,415,16533.75,4.521,UN,True,2023-07-27
36,7701182469133,Panales Etapa 2 Clasico Talla P,6,65,655,767,29420.09,0.873,UN,True,2024-04-24
37,7709815734631,Pijama Selecto Talla L,5,53,,76,20485.16,,UN,True,2025-07-13
38,7701082274452,Panales Etapa 2 Gold Talla G,6,63,634,342,16447.27,,UN,True,2024-06-21
39,7703551203430,Papel Higienico Original 100g,2,21,214,71,2939.96,0.052,UN,True,2021-08-04
40,7708766042564,Tenis Deportivos Tradicional Talla L,5,53,538,343,71415.36,1.404,UN,True,2024-03-18
41,7706526153735,Tenis Deportivos Premium Talla XL,5,54,,215,66460.2,0.51,UN,True,2021-08-01
42,7703197979118,Desodorante Economico 750ml,2,22,221,372,12584.14,1.404,CC,True,2021-05-20
43,7709703467796,Sal Light 500ml,1,12,,562,7432.14,2.246,KG,True,2023-12-18
44,,Ropita Bebe 3-6m Extra Pack x60,6,65,,225,67745.12,0.09,UN,True,2022-02-17
45,7700081098958,Arroz Original 1L,1,13,137,39,9565.09,4.384,LT,True,2022-02-17
46,7700061633361,Suavizante Original 1L,3,32,327,131,10753.84,1.116,UN,True,2023-07-21
47,7709410093295,Camara Web HD Selecto,4,42,,573,273089.03,4.841,UN,True,2021-03-31
48,7702811806304,Smart TV 50 Economico,4,43,439,465,854028.0,10.61,UN,True,2020-11-20
49,7708120649660,Vino Tinto Clasico 5kg,1,12,129,783,11620.16,,KG,True,2022-10-19
50,7700435600218,Bocina Portatil Selecto,4,43,432,715,197850.16,0.717,UN,True,2021-01-06
51,7701469171092,Cereal Clasico 500g,1,15,152,131,7789.36,3.286,CC,True,2024-09-19
52,7708567795098,Vestido Casual Light Talla S,5,54,,589,66026.11,1.942,UN,True,2024-06-25
53,7709940913168,Harina Tradicional 5kg,1,12,129,72,6213.91,1.188,KG,True,2026-01-20
54,7700519229314,Bocina Portatil Gold,4,43,439,78,184146.97,12.971,UN,True,2021-01-23
55,7701676369733,Sandalias Selecto Talla L,5,53,533,634,49661.49,1.28,UN,True,2024-10-18
56,7707229118908,Azucar Plus 2L,1,14,146,322,19903.5,0.482,KG,True,2020-02-09
57,7705295029562,Galletas Premium 250g,1,14,143,799,12858.79,3.677,UN,True,2023-12-19
58,7704059660461,Pijama Light Talla XL,5,53,531,5,39107.16,0.939,UN,True,2021-03-09
59,7701944675379,Frijoles Light 500ml,1,12,123,403,13475.18,3.989,KG,True,2024-08-19
60,7709454353586,Cereal Original 2L,1,14,141,248,8041.26,3.215,CC,True,2020-06-25
61,7701722685524,Jabon de Bano Light Pack x4,2,21,218,788,14756.15,0.055,UN,True,2020-04-08
62,7702652495658,Leche en Polvo Etapa 1 Premium Pack x60,6,64,648,536,34930.89,0.296,UN,True,2021-10-23
63,7703242981242,Suavizante Gold 1kg,3,35,352,617,4228.71,0.737,KG,True,2022-03-31
64,7701385831964,Crema Corporal Tradicional 100g,2,24,246,233,1927.93,0.99,UN,True,2024-11-16
65,7705362330562,Panales Etapa 3 Original Talla P,6,63,632,715,34369.52,1.868,UN,True,2021-03-25
66,7703413250757,Papel Higienico Premium 750ml,2,25,256,671,7193.59,1.653,UN,True,2025-01-15
67,7706078475005,Shampoo Economico 200ml,2,23,239,626,4487.74,1.613,CC,True,2023-03-05
68,7703678580876,Hilo Dental Light Pack x10,2,23,238,384,7327.99,1.102,CC,True,2020-06-16
