id_tienda,nom_tienda,tipo_tienda,id_ciudad,id_pais,metros_cuadrados,activo,fec_apertura
1,RetailMax Ciudad Bolívar,HIPER,17,CO,8156,True,2022-07-31
2,RetailMax Betéitiva,SUPER,20,CO,2097,True,2025-06-17
3,RetailMax Quebradanegra,HIPER,45,CO,7324,True,2015-07-13
4,RetailMax San Pelayo,CONVE,19,CO,217,True,2004-05-18
5,RetailMax León,CONVE,30,PE,,True,2024-04-09
6,RetailMax La Coruña,CONVE,8,PE,333,True,2004-08-17
7,RetailMax Sampués,CONVE,47,CO,109,True,2010-02-09
8,RetailMax Vieja Arabia Saudita,CONVE,30,MX,200,True,2022-01-16
9,RetailMax San Fernando los bajos,CONVE,39,MX,,True,2012-07-30
10,RetailMax Ávila,SUPER,31,PE,1677,True,2004-10-21
11,RetailMax Güicán de la Sierra,CONVE,18,CO,195,True,2000-03-30
12,RetailMax Socotá,CONVE,18,CO,248,True,2008-02-08
13,RetailMax San Martín,CONVE,36,CO,253,True,2016-10-26
14,RetailMax Timaná,SUPER,43,CO,1754,True,2018-01-04
15,RetailMax Uribe,SUPER,7,CO,2052,True,2004-03-30
16,RetailMax Zamora,CONVE,43,PE,269,True,2002-06-12
17,RetailMax Melilla,SUPER,42,PE,1338,True,2017-08-22
18,RetailMax Piedras,SUPER,6,CO,1736,False,2002-06-15
19,RetailMax San Guillermina de la Montaña,CONVE,6,MX,215,True,1999-10-20
20,RetailMax Mogotes,SUPER,35,CO,1190,True,2011-08-14
21,RetailMax San Adela de la Montaña,SUPER,43,MX,972,True,2013-12-26
22,RetailMax San Benjamín los altos,SUPER,20,MX,1030,False,2004-10-28
23,RetailMax Guateque,SUPER,33,CO,1231,True,2003-12-01
24,RetailMax Guipúzcoa,CONVE,50,PE,191,True,2004-08-07
25,RetailMax Soria,CONVE,17,EC,266,True,2007-08-08
26,RetailMax Coinco,CONVE,12,CL,190,True,1998-04-05
27,RetailMax San Rafael,CONVE,50,CL,93,True,1998-05-01
28,RetailMax Nueva Islas Marshall,CONVE,15,MX,,True,2008-05-16
29,RetailMax El Playón,SUPER,24,CO,1358,True,1998-07-23
30,RetailMax Ovejas,CONVE,23,CO,220,True,2006-11-29
31,RetailMax Vieja Seychelles,SUPER,27,MX,1956,True,2014-04-07
32,RetailMax La Sierra,SUPER,14,CO,1316,True,1998-11-15
33,RetailMax Santa Cruz de Tenerife,CONVE,34,PE,294,True,2015-04-20
34,RetailMax San Citlali de la Montaña,CONVE,35,MX,249,True,2015-05-25
35,RetailMax Vieja Rumania,SUPER,11,MX,1487,True,2014-01-20
36,RetailMax Gámbita,CONVE,25,CO,208,True,2015-07-19
37,RetailMax Álava,SUPER,3,EC,1482,True,2020-08-29
38,RetailMax Los Córdobas,SUPER,12,CO,1270,True,1999-12-26
39,RetailMax Pueblo Bello,SUPER,50,CO,1551,True,2002-09-23
40,RetailMax Viotá,SUPER,26,CO,,True,2006-11-17
41,RetailMax La Higuera,SUPER,32,CL,1217,True,2017-04-08
42,RetailMax Zaragoza,SUPER,45,EC,1798,True,2022-06-10
43,RetailMax Inírida,SUPER,36,CO,1628,True,2023-09-22
44,RetailMax Huesca,SUPER,40,PE,1366,True,2014-04-20
45,RetailMax Fundación,CONVE,36,CO,257,True,2009-06-26
46,RetailMax Vieja Burundi,CONVE,25,MX,246,True,2009-07-15
