id_devolucion,id_trans_origen,art_id,id_tienda,fec_devolucion,qty_devuelta,motivo_cod,canal_devolucion,estado_devolucion,vr_reembolso
1,474823,2514,51,2025-11-26,1,INCOMPLETO,TIENDA,RECHAZADA,0.0
2,689502,4266,84,2025-12-16,1,INCOMPLETO,APP,PROCESADA,24808.95
3,196094,848,3,2025-06-16,1,NO_DESEADO,TIENDA,RECHAZADA,0.0
4,758260,4173,149,2025-12-25,1,TALLA,WEB,PROCESADA,293338.14
5,745580,3228,90,2025-12-23,1,INCOMPLETO,TIENDA,REEMBOLSADA,14346.56
6,760762,780,137,2025-08-02,2,DEFECTUOSO,TIENDA,PROCESADA,17724.78
7,856581,527,53,2025-12-06,5,INCOMPLETO,APP,RECHAZADA,0.0
8,755097,1580,8,2025-09-19,1,DEFECTUOSO,WEB,APROBADA,
9,455889,4681,126,2026-05-05,3,DEFECTUOSO,TIENDA,PROCESADA,6113.07
10,958703,4530,5,2025-12-10,1,DEFECTUOSO,WEB,PROCESADA,24152.01
11,948616,2139,135,2025-09-21,1,NO_DESEADO,TIENDA,REEMBOLSADA,12672.95
12,262135,2961,50,2026-02-28,1,OTRO,WEB,PROCESADA,5889.55
13,69096,1247,114,2026-05-23,1,TALLA,TIENDA,APROBADA,10605.21
14,466497,3237,113,2025-08-23,1,DEFECTUOSO,TIENDA,APROBADA,14329.07
15,777702,129,77,2025-11-23,1,DEFECTUOSO,MKT,PROCESADA,6546.99
16,169363,755,123,2026-01-05,1,INCOMPLETO,TIENDA,RECHAZADA,0.0
17,93843,4657,47,2026-04-26,1,DEFECTUOSO,TIENDA,REEMBOLSADA,24348.5
18,366734,2533,137,2025-09-17,1,NO_DESEADO,TIENDA,RECHAZADA,0.0
19,147561,3601,95,2026-05-11,1,OTRO,TIENDA,APROBADA,10864.54
20,163429,2472,23,2025-07-16,4,DEFECTUOSO,TIENDA,RECHAZADA,0.0
21,505144,4617,81,2026-04-30,1,DEFECTUOSO,TIENDA,PROCESADA,12949.59
22,638489,1883,123,2026-04-14,1,TALLA,WEB,PROCESADA,14696.42
23,529897,985,112,2026-01-22,1,DEFECTUOSO,TIENDA,RECHAZADA,0.0
24,872862,3778,123,2025-06-20,1,DEFECTUOSO,TIENDA,APROBADA,142791.48
25,413780,4371,55,2025-11-25,1,DEFECTUOSO,TIENDA,REEMBOLSADA,9010.31
26,946199,1963,111,2026-01-21,1,VENCIDO,TIENDA,APROBADA,11840.31
27,933806,2859,113,2026-03-21,1,TALLA,WEB,REEMBOLSADA,12204.33
28,569209,3843,64,2025-09-12,1,NO_DESEADO,TIENDA,PROCESADA,18369.09
29,618712,248,132,2026-04-16,1,DEFECTUOSO,WEB,APROBADA,12494.87
30,607504,2835,30,2025-10-24,1,VENCIDO,TIENDA,PROCESADA,3965.68
31,514613,2723,140,2025-11-10,1,INCOMPLETO,WEB,APROBADA,13938.55
32,786348,1791,73,2025-07-19,1,TALLA,TIENDA,APROBADA,2419.54
33,188767,4821,136,2026-03-20,1,DEFECTUOSO,WEB,PROCESADA,34812.78
34,745860,266,56,2025-10-29,2,NO_DESEADO,WEB,APROBADA,17076.69
35,74920,4287,53,2025-10-27,1,NO_DESEADO,MKT,PROCESADA,7562.79
36,22312,4081,141,2025-10-02,1,NO_DESEADO,TIENDA,PROCESADA,444580.43
37,787244,3312,116,2026-01-14,1,NO_DESEADO,TIENDA,PROCESADA,6807.07
38,618750,4678,32,2025-08-08,1,VENCIDO,WEB,PROCESADA,7375.52
39,50543,4400,58,2026-01-24,1,NO_DESEADO,TIENDA,APROBADA,4215.74
40,175344,1883,56,2025-07-19,1,VENCIDO,TIENDA,REEMBOLSADA,15465.47
41,704707,585,84,2026-02-03,1,INCOMPLETO,MKT,APROBADA,16408.18
