id_trans,id_miembro,id_tienda,art_id,fec_trans,hra_trans,qty_vendida,precio_unitario_venta,descuento_aplicado,tipo_pago,canal_venta
1,25698,121,3488,2025-10-29,12:54:42,3,30134.02,4864.36,PSE,TIENDA
2,23805,18,4561,2025-06-28,20:33:07,4,7706.93,0.0,PSE,TIENDA
3,38266,39,1150,2025-11-02,09:54:12,2,9579.7,1971.67,EFECTIVO,TIENDA
4,17804,48,4265,2025-11-26,13:09:10,4,32491.98,0.0,TARJETA,TIENDA
5,44729,78,2332,2025-12-13,10:20:57,1,12169.64,3408.57,TARJETA,APP
6,,51,3291,2025-07-13,18:24:13,2,5100.16,2455.45,TARJETA,TIENDA
7,12714,73,2582,2026-02-15,15:37:21,2,11721.08,0.0,TARJETA,WEB
8,,118,2204,2026-02-17,22:00:04,3,13351.03,8077.9,EFECTIVO,TIENDA
9,30246,123,4055,2025-08-18,16:42:30,2,11953.87,6222.68,EFECTIVO,TIENDA
10,8269,88,698,2025-06-19,12:25:14,3,84212.21,0.0,PSE,WEB
11,35453,112,4719,2026-01-11,17:18:08,2,7647.41,0.0,EFECTIVO,TIENDA
12,14559,73,2514,2025-11-17,19:28:44,2,3937.38,0.0,NEQUI,WEB
13,,54,1839,2025-10-13,21:32:20,1,111447.74,0.0,EFECTIVO,TIENDA
14,31059,107,2089,2025-08-07,21:55:09,4,3213.96,0.0,EFECTIVO,TIENDA
15,,44,775,2026-02-10,13:32:25,2,81959.95,0.0,NEQUI,TIENDA
16,19222,127,312,2025-09-08,12:53:34,4,19544.43,0.0,TARJETA,APP
17,,94,1427,2026-02-15,14:40:34,3,15348.3,0.0,PSE,MKT
18,18135,145,3363,2025-10-15,18:33:21,3,9979.75,0.0,TARJETA,WEB
19,22935,122,2111,2026-01-14,11:54:56,4,4110.99,0.0,EFECTIVO,WEB
20,,110,3533,2025-11-12,16:47:53,3,12776.34,1998.27,TARJETA,TIENDA
21,,22,640,2025-07-13,15:09:15,1,33317.45,0.0,DAVIPLATA,TIENDA
22,38917,104,1114,2025-08-01,13:18:11,2,41740.37,0.0,TARJETA,APP
23,36049,116,2162,2025-12-24,15:10:34,4,18349.01,19200.89,EFECTIVO,TIENDA
24,8484,53,3879,2025-12-21,17:00:20,4,17731.1,0.0,TARJETA,MKT
25,,125,2052,2025-06-17,20:46:16,3,12072.19,0.0,DAVIPLATA,MKT
26,,56,3815,2025-11-12,23:07:44,3,12647.7,0.0,PSE,TIENDA
27,25290,126,1944,2025-07-04,17:46:25,3,27074.45,,TARJETA,MKT
28,46830,109,3845,2025-07-10,18:13:39,4,4859.61,0.0,TARJETA,TIENDA
29,37911,131,3480,2026-02-04,22:59:36,2,118484.61,0.0,EFECTIVO,MKT
30,4452,130,192,2026-02-22,10:13:15,1,8553.69,,NEQUI,WEB
31,,103,3584,2026-02-06,11:59:02,3,32820.98,0.0,TRANSFER,APP
32,18178,134,2804,2025-06-05,18:32:26,3,93526.81,,TARJETA,WEB
33,,21,394,2025-11-18,20:46:19,1,12903.0,794.48,EFECTIVO,TIENDA
34,773,25,91,2025-08-27,10:31:14,3,5761.93,5165.44,EFECTIVO,TIENDA
35,31134,120,1895,2026-02-17,11:33:19,1,13103.71,2164.23,EFECTIVO,APP
36,46088,13,3355,2025-12-18,19:19:23,4,28950.52,0.0,TARJETA,TIENDA
37,,89,1145,2025-11-01,14:15:28,6,57649.77,0.0,EFECTIVO,TIENDA
38,14309,21,1740,2026-03-02,18:40:41,4,57459.29,,TARJETA,WEB
39,27864,108,303,2026-05-22,14:57:49,3,5856.51,0.0,TARJETA,TIENDA
40,,61,225,2025-10-05,18:04:19,1,10195.63,0.0,TARJETA,TIENDA
41,49726,35,4371,2026-05-11,17:55:32,2,8659.02,0.0,TARJETA,WEB
42,,56,1576,2025-10-17,18:10:53,3,5707.3,0.0,CREDITO,TIENDA
43,24607,113,693,2026-05-14,17:18:44,3,56127.65,0.0,NEQUI,WEB
44,49111,106,1979,2025-11-28,21:58:35,3,12537.07,5538.15,TARJETA,MKT
45,,45,4567,2025-08-10,23:29:25,4,39414.46,0.0,TARJETA,MKT
46,,147,2541,2025-08-06,13:02:46,3,11415.01,0.0,PSE,TIENDA
47,,142,38,2025-12-26,17:53:13,1,17856.92,0.0,TARJETA,WEB
48,,4,1936,2025-11-23,18:03:51,1,4692.62,0.0,EFECTIVO,TIENDA
49,48861,88,2065,2025-06-08,19:58:16,1,10879.75,1454.16,TRANSFER,WEB
50,49819,103,1301,2026-05-26,13:17:25,2,13807.98,0.0,PSE,TIENDA
51,,144,285,2025-09-23,11:40:11,2,5200.33,0.0,TARJETA,TIENDA
52,23872,23,3852,2026-04-16,09:23:30,4,14226.61,0.0,EFECTIVO,APP
53,22448,59,1572,2026-02-15,19:01:32,4,39173.32,0.0,TARJETA,TIENDA
54,10440,111,405,2026-02-04,21:23:40,1,160631.74,0.0,TARJETA,WEB
55,44912,57,4416,2025-12-30,12:56:33,3,17890.98,6591.62,TARJETA,WEB
56,,28,4647,2025-06-11,22:32:51,2,18857.6,0.0,EFECTIVO,MKT
57,14223,40,1441,2026-04-01,20:28:21,1,113277.75,0.0,TRANSFER,TIENDA
58,6760,81,1345,2026-05-14,17:30:43,1,10258.9,0.0,TRANSFER,TIENDA
59,,108,1210,2026-02-24,16:04:30,3,21204.78,17070.8,TARJETA,MKT
60,1018,28,291,2025-12-07,09:56:59,2,21652.54,11520.48,PSE,WEB
61,7293,113,4640,2025-11-25,12:01:51,3,9186.07,0.0,EFECTIVO,WEB
62,,113,3406,2025-12-01,16:39:51,3,19904.38,15979.65,TARJETA,WEB
63,,58,1644,2026-02-04,19:09:06,3,21334.97,,EFECTIVO,TIENDA
64,27823,111,506,2025-11-22,12:28:58,3,223908.59,102934.96,TARJETA,TIENDA
65,,76,4241,2026-05-01,20:07:04,6,8668.6,0.0,PSE,MKT
66,40814,13,2191,2026-02-03,14:44:22,2,19198.45,0.0,TARJETA,MKT
67,16654,15,1337,2025-11-12,06:25:43,1,2211.58,0.0,TARJETA,APP
68,7486,35,3215,2026-05-07,15:11:31,2,8487.54,0.0,PSE,TIENDA
69,46037,73,1701,2026-04-04,10:55:37,6,16072.33,0.0,EFECTIVO,TIENDA
70,47165,16,18,2025-11-16,21:53:13,1,21901.93,0.0,EFECTIVO,WEB
71,21219,15,4898,2025-11-29,21:34:18,2,308329.3,,TRANSFER,TIENDA
72,40481,9,137,2025-10-25,10:12:43,6,15722.69,0.0,DAVIPLATA,TIENDA
